Depth,Nodes,TimeMs,,,,
8,360984,110,,,,
8,387837,109,,,,
8,549590,149,,,,
8,1428680,417,,,,
8,1219750,288,,,,
8,823158,230,,,,
8,453619,123,,,,
8,312828,84,,,,
8,38002,12,,,,
8,36894,11,,,,
8,30157,10,,,,
8,59362,20,,,,
8,249823,65,,,,
8,97294,25,,,,
8,26596,8,,,,
8,16777,4,,,,
8,30973,10,,,,
8,9320,1,,,,
8,16352,3,,,,
8,15205,4,,,,
8,32457,9,,,,
8,11816,2,,,,
8,29433,5,,,,
8,9445,2,,,,
8,70468,15,,,,
8,74979,14,,,,
8,96919,19,,,,
8,55961,12,,,,
8,86030,17,,,,
8,47811,9,,,,
8,38554,6,,,,
8,55098,11,,,,
8,28314,5,,,,
8,46175,9,,,,
8,57593,10,,,,
8,63254,13,,,,
8,53281,11,,,,
8,95760,17,,,,
8,48,1,,,,
8,48,1,,,,
8,50472,13,,,,
8,69878,13,,,,
8,39955,8,,,,
8,295594,63,,,,
8,172235,37,,,,
8,122012,26,,,,
8,172658,46,,,,
8,9841,3,,,,
8,70594,18,,,,
8,30695,8,,,,
8,129140,24,,,,
8,1195,1,,,,
8,285133,77,,,,
8,92921,25,,,,
8,34766,7,,,,
8,106616,21,,,,
8,73693,15,,,,
8,103065,20,,,,
8,52373,9,,,,
8,417060,70,,,,
8,186528,38,,,,
8,48868,9,,,,
8,140693,29,,,,
8,19138,4,,,,
8,50914,10,,,,
8,51204,12,,,,
8,81802,20,,,,
8,183,1,,,,
8,32,1,,,,
8,40,1,,,,
8,52372,14,,,,
8,18224,5,,,,
8,27851,6,,,,
8,44702,12,,,,
8,146734,31,,,,
8,229003,47,,,,
8,68169,15,,,,
8,117440,20,,,,
8,68811,12,,,,
8,31322,6,,,,
8,72745,12,,,,
8,169110,33,,,,
8,26885,5,,,,
8,27715,5,,,,
8,46161,9,,,,
8,51424,9,,,,
8,42458,8,,,,
8,48373,9,,,,
8,44375,10,,,,
8,36651,7,,,,
8,96110,20,,,,
8,126957,22,,,,
8,70539,16,,,,
8,11826965,4265,,,,
8,22801358,8442,,,,
8,21738518,8030,,,,
8,10971291,3595,,,,
8,13749802,4525,,,,
8,49313241,16303,,,,
8,11029958,3803,,,,
8,13620889,4551,,,,
8,17588735,6232,,,,
8,6571046,2306,,,,
8,10068643,3396,,,,
8,7980262,2733,,,,
8,6122008,2123,,,,
8,17279835,5963,,,,
8,22079361,8084,,,,
8,68641789,25112,,,,
8,27547946,10409,,,,
8,2933763,1026,,,,
8,8491163,2800,,,,
8,18278326,5663,,,,
8,4211590,1397,,,,
8,8773354,3121,,,,
8,12324366,4380,,,,
8,8762911,2973,,,,
8,5794103,2089,,,,
8,3404315,1216,,,,
8,1299319,402,,,,
8,727787,212,,,,
8,2716103,818,,,,
8,4108542,1151,,,,
8,1519617,440,,,,
8,483000,125,,,,
8,673793,176,,,,
8,286577,94,,,,
8,202748,49,,,,
8,118532,33,,,,
8,26847,9,,,,
8,56909,18,,,,
8,25392,6,,,,
8,17784,5,,,,
8,7819,2,,,,
8,7237,2,,,,
8,4676,1,,,,
8,5431,1,,,,
8,10920,1,,,,
8,6106,1,,,,
8,5819,1,,,,
8,4749,1,,,,
8,4952,1,,,,
8,2188,1,,,,
8,11664,2,,,,
8,15658,2,,,,
8,10638,2,,,,
8,6876,2,,,,
8,5056,1,,,,
8,19869,3,,,,
8,4687,1,,,,
8,4660,1,,,,
8,10147,2,,,,
8,52985,11,,,,
8,41381,7,,,,
8,81250,14,,,,
8,87191,20,,,,
8,46474,9,,,,
8,74340,13,,,,
8,1548,1,,,,
8,100842,20,,,,
8,76338,13,,,,
8,852,1,,,,
8,27871,8,,,,
8,10702,3,,,,
8,135485,28,,,,
8,123062,32,,,,
8,283253,66,,,,
8,118672,27,,,,
8,130664,27,,,,
8,224312,41,,,,
8,259431,51,,,,
8,6391,1,,,,
8,221173,44,,,,
8,128451,31,,,,
8,154741,38,,,,
8,80996,14,,,,
8,184687,32,,,,
8,125767,22,,,,
8,103879,24,,,,
8,30011,9,,,,
8,59945,11,,,,
8,87581,21,,,,
8,78256,15,,,,
8,152632,28,,,,
8,66589,11,,,,
8,47574,9,,,,
8,89969,15,,,,
8,42060,8,,,,
8,8231,2,,,,
8,27101,6,,,,
8,14791,3,,,,
8,108896,27,,,,
8,85278,21,,,,
8,121189,25,,,,
8,167005,32,,,,
8,257390,44,,,,
8,242509,69,,,,
8,54844,16,,,,
8,43744,11,,,,
8,58331,13,,,,
8,100050,25,,,,
8,18362,7,,,,
8,26381,7,,,,
8,68282,23,,,,
8,16819,4,,,,
8,45618,9,,,,
8,74389,15,,,,
8,132379,21,,,,
8,295142,64,,,,
8,39288,10,,,,
8,4679,1,,,,
8,86272,21,,,,
8,102139,23,,,,
8,105781,28,,,,
8,29848585,10719,,,,
8,27127413,9529,,,,
8,39665346,13448,,,,
8,7892847,2887,,,,
8,25973130,8498,,,,
8,22267055,8235,,,,
8,7111617,2301,,,,
8,4849914,1466,,,,
8,8835366,2727,,,,
8,14841135,4543,,,,
8,2101631,698,,,,
8,3035375,976,,,,
8,1387144,398,,,,
8,3072730,945,,,,
8,1622784,534,,,,
8,1284366,378,,,,
8,1101471,340,,,,
8,2727183,796,,,,
8,1715503,547,,,,
8,1470364,461,,,,
8,3793840,1200,,,,
8,2717080,897,,,,
8,4362009,1471,,,,
8,2235683,719,,,,
8,1799174,566,,,,
8,2913455,925,,,,
8,5831508,1761,,,,
8,2904240,948,,,,
8,890097,248,,,,
8,1718974,545,,,,
8,197315,47,,,,
8,191182,47,,,,
8,146951,40,,,,
8,198284,50,,,,
8,175670,59,,,,
8,304775,100,,,,
8,82998,22,,,,
8,30819,7,,,,
8,52367,12,,,,
8,15135,4,,,,
8,10347,2,,,,
8,16086,4,,,,
8,11943,3,,,,
8,9616,3,,,,
8,1716,1,,,,
8,5700,2,,,,
8,8577,2,,,,
8,2455,1,,,,
8,12730,3,,,,
8,8547,2,,,,
8,6250,2,,,,
8,7231,2,,,,
8,13506,4,,,,
8,81697,18,,,,
8,249761,48,,,,
8,285136,61,,,,
8,110947,23,,,,
8,198407,54,,,,
8,143387,38,,,,
8,150330,34,,,,
8,225870,46,,,,
8,237319,59,,,,
8,228936,54,,,,
8,296676,69,,,,
8,127607,28,,,,
8,55795300,17669,,,,
8,18738818,9064,,,,
8,15451584,6580,,,,
8,22569955,8156,,,,
8,22303693,7688,,,,
8,15651079,5864,,,,
8,8146938,2796,,,,
8,5877667,2197,,,,
8,8601128,3100,,,,
8,6652509,2299,,,,
8,6604458,2673,,,,
8,21744005,7830,,,,
8,10321399,3651,,,,
8,11227766,3869,,,,
8,4772397,1859,,,,
8,19879189,7156,,,,
8,23655420,8040,,,,
8,40840110,13892,,,,
8,8138108,2975,,,,
8,249751733,83507,,,,
8,7844092,2914,,,,
8,42687312,15372,,,,
8,37958481,12678,,,,
8,13554802,4345,,,,
8,19792375,6385,,,,
8,9607596,3194,,,,
8,40468329,13125,,,,
8,3874207,1382,,,,
8,27468980,8894,,,,
8,23625012,7391,,,,
8,70786551,21044,,,,
8,1300746,407,,,,
8,953747,290,,,,
8,1324630,384,,,,
8,12358634,4256,,,,
8,11983825,4153,,,,
8,65669317,21813,,,,
8,17085907,5990,,,,
8,18897157,6588,,,,
8,9553364,3437,,,,
8,23568487,8216,,,,
8,27753527,9666,,,,
8,46899486,16323,,,,
8,12844063,4311,,,,
8,63526855,19869,,,,
8,19809779,6510,,,,
8,57482809,19028,,,,
8,65533478,21765,,,,
8,18735045,6691,,,,
8,6713482,1896,,,,
8,5204172,2034,,,,
8,1795988,753,,,,
8,4263655,1461,,,,
8,3181668,921,,,,
8,608012,184,,,,
8,108319,33,,,,
8,174921,46,,,,
8,1489921,385,,,,
8,736203,210,,,,
8,756654,215,,,,
8,442509,107,,,,
8,472447,132,,,,
8,463713,118,,,,
8,367811,91,,,,
8,486893,128,,,,
8,329221,108,,,,
8,273692,65,,,,
8,429247,102,,,,
8,385052,99,,,,
8,555896,145,,,,
8,1023081,266,,,,
8,484666,117,,,,
8,253545,68,,,,
8,282344,84,,,,
8,116891,33,,,,
8,18630,6,,,,
8,46301,12,,,,
8,25088,4,,,,
8,24890,6,,,,
8,47546,16,,,,
8,27225,8,,,,
8,35544,9,,,,
8,50892,14,,,,
8,40188,12,,,,
8,34377,9,,,,
8,44970,11,,,,
8,27809,7,,,,
8,37790,8,,,,
8,82894,20,,,,
8,40592,8,,,,
8,37051,7,,,,
8,40478,7,,,,
8,29778,6,,,,
8,46581,8,,,,
8,52621,9,,,,
8,74440,16,,,,
8,68298,12,,,,
8,75523,18,,,,
8,51965,10,,,,
8,86356,24,,,,
8,234614,53,,,,
8,1334204,298,,,,
8,2229846,477,,,,
8,585375,122,,,,
8,1249432,245,,,,
8,1267448,247,,,,
8,474942,113,,,,
8,561392,120,,,,
8,291138,57,,,,
8,408175,94,,,,
8,230591,48,,,,
8,286412,62,,,,
8,250381,55,,,,
8,188178,42,,,,
8,185884,33,,,,
8,317261,67,,,,
8,723225,167,,,,
8,1903008,443,,,,
8,11426406,3975,,,,
8,5633523,1808,,,,
8,3496358,1241,,,,
8,6926806,2510,,,,
8,7939344,2864,,,,
8,4512510,1559,,,,
8,7578658,2741,,,,
8,16859509,5976,,,,
8,14672636,5083,,,,
8,7764482,2891,,,,
8,6378319,2309,,,,
8,8238204,2987,,,,
8,14955015,5159,,,,
8,15310496,5162,,,,
8,27853466,9013,,,,
8,11929033,3942,,,,
8,32339867,10412,,,,
8,22537871,6950,,,,
8,7882573,2710,,,,
8,25118322,8664,,,,
8,2927811,978,,,,
8,6320521,2075,,,,
8,685807,234,,,,
8,1188975,373,,,,
8,2840931,841,,,,
8,3717047,1094,,,,
8,8808771,2534,,,,
8,5161622,1431,,,,
8,4400691,1146,,,,
8,5004229,1499,,,,
8,11672591,3263,,,,
8,8421237,2344,,,,
8,22681249,7023,,,,
8,6433348,1846,,,,
8,15986654,4551,,,,
8,2004672,587,,,,
8,8223426,2577,,,,
8,1229414,315,,,,
8,306498,111,,,,
8,476199,125,,,,
8,215302,56,,,,
8,316686,84,,,,
8,255194,64,,,,
8,1348593,315,,,,
8,224272,59,,,,
8,459375,110,,,,
8,175155,41,,,,
8,385791,92,,,,
8,875356,220,,,,
8,1086810,252,,,,
8,182185,47,,,,
8,359587,73,,,,
8,202228,36,,,,
8,716423,157,,,,
8,2125157,475,,,,
8,1401535,328,,,,
8,23106805,7491,,,,
8,17611598,6383,,,,
8,14603001,5062,,,,
8,15131481,5269,,,,
8,24739637,8881,,,,
