Depth,Nodes,TimeMs,HistoryHitRate,,,,,
8,19562,5,4.39,,,,,
8,9536,3,3.06,,,,,
8,14183,4,4.65,,,,,
8,7915,2,5.54,,,,,
8,5415,2,6.04,,,,,
8,8268,3,7.79,,,,,
8,10519,4,6.72,,,,,
8,8073,2,6.46,,,,,
8,4678,1,3.85,,,,,
8,6821,2,4.22,,,,,
8,6258,2,4.62,,,,,
8,1646,1,6.95,,,,,
8,745,1,4.86,,,,,
8,2690,1,4.27,,,,,
8,14085,4,1.17,,,,,
8,137768,44,0.75,,,,,
8,946166,302,0.99,,,,,
8,2315590,802,0.77,,,,,
8,1472949,511,0.7,,,,,
8,743068,255,0.61,,,,,
8,8950894,5170,0.18,,,,,
8,13894988,8236,0.14,,,,,
8,6591590,3498,0.06,,,,,
8,9183576,5001,0.05,,,,,
8,9615324,4395,0.11,,,,,
8,5025683,2739,0.07,,,,,
8,8939978,4402,0.15,,,,,
8,16110999,7399,0.12,,,,,
8,8945794,4269,0.08,,,,,
8,5061019,2511,0.1,,,,,
8,5892918,2563,0.09,,,,,
8,2461425,1054,0.13,,,,,
8,2657549,1321,0.12,,,,,
8,2518404,1313,0.14,,,,,
8,3542319,1798,0.22,,,,,
8,5522786,2707,0.28,,,,,
8,4566251,2428,0.34,,,,,
8,7128963,3999,0.27,,,,,
8,9929457,6039,0.31,,,,,
8,8476566,5128,0.31,,,,,
8,2701836,1442,0.34,,,,,
8,2541486,1364,0.43,,,,,
8,2877923,1647,0.43,,,,,
8,4392465,2497,0.43,,,,,
8,6965237,3769,0.47,,,,,
8,304,1,0,,,,,
8,280,1,0,,,,,
8,4986417,2562,0.06,,,,,
8,2829891,1418,0.14,,,,,
8,9254031,4683,0.22,,,,,
8,17488955,8665,0.22,,,,,
8,17768176,9698,0.11,,,,,
8,7054328,3751,0.07,,,,,
8,13934027,7118,0.16,,,,,
8,17286606,9092,0.24,,,,,
8,28302163,15335,0.28,,,,,
8,15716533,8393,0.13,,,,,
8,5529006,3348,0.11,,,,,
8,4597833,2718,0.1,,,,,
8,3940673,2320,0.17,,,,,
8,4030860,2341,0.12,,,,,
8,3239721,1926,0.16,,,,,
8,1741554,870,0.18,,,,,
8,2542123,1428,0.65,,,,,
8,3601775,1940,0.62,,,,,
8,3485760,1957,0.7,,,,,
8,4860659,2687,0.72,,,,,
8,2050978,1196,0.61,,,,,
8,2071750,1146,0.59,,,,,
8,2221928,1243,0.68,,,,,
8,2039526,1233,0.51,,,,,
8,1617506,952,0.51,,,,,
8,612218,370,0.49,,,,,
8,1504298,907,0.68,,,,,
8,1120377,713,1.11,,,,,
8,159294,93,0.87,,,,,
8,933581,589,1.35,,,,,
8,506094,226,1.14,,,,,
8,886816,435,1.78,,,,,
8,593713,271,1.62,,,,,
8,302565,144,2.59,,,,,
8,188496,93,2.44,,,,,
8,127487,58,2.18,,,,,
8,102261,47,2.63,,,,,
8,48,1,0,,,,,
8,40,1,0,,,,,
8,11384370,5659,0.2,,,,,
8,6926971,3480,0.18,,,,,
8,8765685,4477,0.19,,,,,
8,22679275,11223,0.13,,,,,
8,16218610,7527,0.1,,,,,
8,20973945,10999,0.22,,,,,
8,20143616,11023,0.29,,,,,
8,16191333,8705,0.21,,,,,
8,3308225,1651,0.14,,,,,
8,3201870,1668,0.27,,,,,
8,2141168,1097,0.22,,,,,
8,1803988,891,0.19,,,,,
8,2859603,1327,0.24,,,,,
8,2007830,902,0.37,,,,,
8,2450649,1155,0.25,,,,,
8,1302189,627,0.27,,,,,
8,1204907,622,0.34,,,,,
8,705563,324,0.26,,,,,
8,195523,112,0.4,,,,,
8,246006,123,0.84,,,,,
8,455745,216,1.06,,,,,
8,320633,148,1.37,,,,,
8,323893,144,1.12,,,,,
8,206706,93,1.21,,,,,
8,214648,94,1.17,,,,,
8,76482,36,1.27,,,,,
8,136,1,0,,,,,
8,112,1,0,,,,,
8,17061413,8510,0.13,,,,,
8,5444022,2662,0.07,,,,,
8,10583155,5701,0.11,,,,,
8,7191308,3644,0.12,,,,,
8,18084239,8570,0.14,,,,,
8,6680160,3054,0.09,,,,,
8,17368063,8932,0.13,,,,,
8,23290823,12369,0.08,,,,,
8,40469289,21488,0.06,,,,,
8,10850697,5548,0.1,,,,,
8,7199135,4233,0.08,,,,,
8,3619231,2113,0.09,,,,,
8,5269329,3231,0.12,,,,,
8,7516723,4730,0.15,,,,,
8,7319267,3873,0.19,,,,,
8,3700305,2000,0.16,,,,,
8,5848150,3069,0.23,,,,,
8,7634075,3771,0.23,,,,,
8,10265757,5104,0.19,,,,,
8,4015050,1850,0.05,,,,,
8,331246,123,0.14,,,,,
8,2231789,782,0.16,,,,,
8,2158187,838,0.25,,,,,
8,6237175,3470,0.13,,,,,
8,6746575,3742,0.22,,,,,
8,9782142,5207,0.24,,,,,
8,5713304,2878,0.17,,,,,
8,8425639,4440,0.2,,,,,
8,15320976,7412,0.19,,,,,
8,12754990,6204,0.14,,,,,
8,10345685,5875,0.2,,,,,
8,20420660,10276,0.13,,,,,
8,17331817,8793,0.1,,,,,
8,12043378,5762,0.09,,,,,
8,21740549,10964,0.11,,,,,
8,15925431,8643,0.08,,,,,
8,10458163,5830,0.06,,,,,
8,15733635,8917,0.09,,,,,
8,15487707,8014,0.07,,,,,
8,8295895,4033,0.06,,,,,
8,6714642,3518,0.07,,,,,
8,3178050,1439,0.1,,,,,
8,1404448,803,0.28,,,,,
8,939136,513,0.27,,,,,
8,1024954,539,0.49,,,,,
8,1121480,636,0.45,,,,,
8,4476378,2276,0.51,,,,,
8,1746854,921,0.52,,,,,
8,1525544,752,0.55,,,,,
8,1886780,1038,0.52,,,,,
8,2401835,1315,0.88,,,,,
8,4616632,2308,0.79,,,,,
8,3075085,1694,0.7,,,,,
8,2489974,1295,0.69,,,,,
8,2919344,1495,0.63,,,,,
8,1344155,655,0.47,,,,,
8,5014245,2293,0.66,,,,,
8,1628487,793,0.77,,,,,
8,1427311,647,0.72,,,,,
8,1232713,580,0.49,,,,,
8,872871,509,0.66,,,,,
8,648130,288,0.49,,,,,
8,1009079,487,0.68,,,,,
8,924842,448,0.84,,,,,
8,773739,499,0.89,,,,,
8,505011,213,0.63,,,,,
8,493431,210,1.14,,,,,
8,497113,205,0.92,,,,,
8,868462,357,0.78,,,,,
8,381070,163,0.57,,,,,
8,87209,28,0.87,,,,,
8,366314,126,1.22,,,,,
8,237706,90,0.79,,,,,
8,502473,131,1.05,,,,,
8,269428,69,1.28,,,,,
8,308195,87,0.98,,,,,
8,536908,145,0.72,,,,,
8,1144433,327,0.68,,,,,
8,926086,304,0.83,,,,,
8,3167508,998,0.77,,,,,
8,2257194,751,0.7,,,,,
8,22321323,11124,0.09,,,,,
8,24739296,13455,0.1,,,,,
8,29294644,16032,0.19,,,,,
8,21733001,11134,0.15,,,,,
8,14345493,6787,0.02,,,,,
8,7742322,3996,0.04,,,,,
8,11003517,5351,0.03,,,,,
8,7311670,3730,0.03,,,,,
8,8166548,4595,0.04,,,,,
8,7444269,4234,0.05,,,,,
8,4267947,2717,0.04,,,,,
8,2120712,1292,0.07,,,,,
8,2450827,1411,0.03,,,,,
8,1838719,958,0.09,,,,,
8,2490366,1380,0.12,,,,,
8,2557970,1459,0.19,,,,,
8,861795,330,0.16,,,,,
8,2131888,873,0.19,,,,,
8,1371870,627,0.2,,,,,
8,1254946,587,0.28,,,,,
8,3537791,1764,0.39,,,,,
8,3188809,1629,0.32,,,,,
8,2593874,1248,0.32,,,,,
8,2800949,1358,0.34,,,,,
8,3223378,1402,0.26,,,,,
8,782462,352,0.26,,,,,
8,2693759,1196,0.3,,,,,
8,1626033,711,0.31,,,,,
8,2962980,1417,0.38,,,,,
8,2493283,1075,0.38,,,,,
8,5426257,2400,0.35,,,,,
8,3651089,1879,0.37,,,,,
8,3532502,1845,0.4,,,,,
8,1735498,1002,0.82,,,,,
8,2897535,1546,0.43,,,,,
8,1734414,928,0.42,,,,,
8,1648571,798,0.43,,,,,
8,3335265,1793,0.65,,,,,
8,3138554,1631,0.49,,,,,
8,2854963,1511,0.55,,,,,
8,1059082,566,0.79,,,,,
8,1121063,552,0.75,,,,,
8,2234991,1188,0.99,,,,,
8,1080743,511,0.53,,,,,
8,409210,216,1.24,,,,,
8,358429,159,1.66,,,,,
8,264533,115,1.49,,,,,
8,457341,196,1.88,,,,,
8,240592,104,1.95,,,,,
8,208956,90,1.72,,,,,
8,251026,116,1.48,,,,,
8,299536,127,1.53,,,,,
8,188638,86,1.49,,,,,
8,199904,81,1.72,,,,,
8,324267,145,1.24,,,,,
8,247377,99,1.15,,,,,
8,313684,130,1.39,,,,,
8,284348,125,1.6,,,,,
8,390793,185,1.92,,,,,
8,492270,213,1.58,,,,,
8,292792,105,2.19,,,,,
8,1395148,503,2.63,,,,,
8,1078409,413,2.79,,,,,
8,1892037,732,2.91,,,,,
8,2379798,872,2.59,,,,,
8,9296277,4840,0.08,,,,,
8,3749745,2183,0.06,,,,,
8,2691751,1421,0.05,,,,,
8,12193696,6991,0.06,,,,,
8,6908944,4299,0.06,,,,,
8,10476654,5639,0.08,,,,,
8,9789176,5680,0.09,,,,,
8,16805446,10213,0.05,,,,,
8,21354801,12091,0.05,,,,,
8,26429801,15488,0.06,,,,,
8,14348104,8386,0.07,,,,,
8,14473501,9598,0.05,,,,,
8,5215845,3771,0.08,,,,,
8,11340478,6782,0.13,,,,,
8,6224349,3482,0.09,,,,,
8,10818499,5838,0.13,,,,,
8,9249047,4976,0.15,,,,,
8,8099054,4178,0.08,,,,,
8,5411921,2605,0.11,,,,,
8,3575628,1691,0.2,,,,,
8,3931001,2165,0.22,,,,,
8,10001244,5515,0.39,,,,,
8,2927182,1515,0.1,,,,,
8,2751448,1472,0.16,,,,,
8,3716650,1837,0.44,,,,,
8,3098770,1660,0.4,,,,,
8,1315266,705,0.3,,,,,
8,633402,315,0.56,,,,,
8,1613807,905,0.86,,,,,
8,1419409,771,1.02,,,,,
8,1706383,916,0.91,,,,,
8,760655,414,0.92,,,,,
8,3079374,1732,0.98,,,,,
8,2059174,1161,0.97,,,,,
8,1408956,853,0.81,,,,,
8,304,1,0,,,,,
8,280,1,0,,,,,
8,12506484,5782,0.16,,,,,
8,12875680,6524,0.13,,,,,
8,8950904,5620,0.06,,,,,
8,6221266,3656,0.07,,,,,
8,7779013,3843,0.1,,,,,
8,14733293,6026,0.15,,,,,
8,14269151,4696,0.14,,,,,
8,19334761,5967,0.09,,,,,
8,32942029,9650,0.07,,,,,
8,32447900,9461,0.05,,,,,
8,13115064,3888,0.03,,,,,
8,7427163,2483,0.06,,,,,
8,9644219,3395,0.15,,,,,
8,7103090,2109,0.24,,,,,
8,5124578,1524,0.19,,,,,
8,4762935,1500,0.23,,,,,
8,7414491,1977,0.21,,,,,
8,2669931,818,0.24,,,,,
8,1477278,486,0.06,,,,,
8,1307050,347,0.05,,,,,
8,918663,256,0.13,,,,,
8,727338,200,0.23,,,,,
8,1422441,396,0.35,,,,,
8,1817986,473,0.49,,,,,
8,4188233,1046,0.48,,,,,
8,3208754,808,0.53,,,,,
8,2863601,712,0.35,,,,,
8,835121,215,0.27,,,,,
8,444103,122,0.43,,,,,
8,700506,212,0.85,,,,,
8,1743018,561,0.63,,,,,
8,2269169,698,0.71,,,,,
