Depth,Nodes,TimeMs
8,49416853,21710
8,6324882,2425
8,3146546,1132
8,1358591,485
8,7388317,2592
8,1662757,600
8,1580606,552
8,1754072,694
8,1990023,701
8,5978507,2281
8,7313447,2874
8,9569813,3991
8,5623572,2452
8,3059762,1406
8,22433952,9134
8,43586786,17324
8,24748834,9591
8,12409683,5071
8,11448598,4638
8,1745154,723
8,1679416,718
8,13169129,5175
8,2855407,1225
8,3948631,1467
8,1092283,303
8,458303,154
8,595142,169
8,359071,95
8,1562625,434
8,724065,198
8,2181917,590
8,4158305,1125
8,1872655,507
8,2490211,690
8,2434366,683
8,2461701,683
8,2899823,735
8,651320,189
8,1083244,345
8,194390,68
8,1559022,439
8,179838,46
8,238510,53
8,1954122,530
8,643539,199
8,1701317,417
8,670083,187
8,758265,220
8,639816,151
8,676821,176
8,544747,140
8,1092754,296
8,585547,158
8,733957,176
8,568599,157
8,935298,265
8,147400,47
8,50823,13
8,119963,25
8,81127,16
8,82959,23
8,136413,29
8,307657,72
8,474004,94
8,858225,174
8,2762335,573
8,1723767,369
8,1547778,347
8,792199,151
8,850077,173
8,450163,106
8,785237,172
8,1176042,227
8,801212,159
8,340292,79
8,324783,64
8,17564206,5978
8,35767203,11393
8,35571582,11583
8,65985873,20596
8,54830431,17497
8,29469288,10046
8,20985438,7177
8,15991876,5679
8,45014364,16605
8,19970167,7648
8,32569924,12783
8,25776822,10492
8,22412357,9595
8,23481695,10337
8,35643499,14288
8,18060720,7572
8,11040782,4223
8,5351136,2275
8,1891183,648
8,3010648,1082
8,6438246,2239
8,2708371,1005
8,2929106,964
8,1126596,382
8,1539142,542
8,1935987,778
8,7953446,2859
8,4740554,1796
8,3167933,1149
8,2515514,1006
8,6178003,2412
8,3465862,1314
8,3627323,1346
8,763801,317
8,1105036,447
8,4919865,1911
8,661422,257
8,2021487,750
8,3190623,1134
8,7043007,2391
8,694719,268
8,284983,105
8,281031,105
8,183493,54
8,1296019,400
8,1559744,448
8,836005,253
8,1277235,379
8,2070197,557
8,944627,283
8,875679,297
8,1532465,457
8,4610899,1396
8,474140,148
8,1268436,387
8,7011577,2012
8,3569374,1106
8,1146752,370
8,3564240,1044
8,1600457,484
8,5335372,1683
8,1722363,562
8,1498777,458
8,1106757,412
8,741748,220
8,1066778,349
8,323280,80
8,432965,103
8,384319,93
8,97025,23
8,263825,67
8,255514,54
8,842249,177
8,366345,87
8,1006484,230
8,1120395,251
8,3169132,722
8,2966354,697
8,2619993,636
8,2421820,624
8,12644267,4148
8,16688761,5567
8,21181092,7218
8,27724521,9420
8,6948233,2398
8,17638426,6451
8,15516540,6118
8,47425513,16313
8,6128326,2142
8,9393688,4059
8,6688368,2858
8,6643646,2792
8,7204994,3083
8,2100271,737
8,3183263,1058
8,9693052,3060
8,5864779,2209
8,2480852,910
8,728960,234
8,2148172,781
8,3387853,1200
8,5927717,1835
8,2657299,836
8,1873929,552
8,2851027,877
8,2080618,683
8,95994,33
8,259798,74
8,498964,157
8,1271918,355
8,271641,79
8,869004,247
8,364594,114
8,314999,96
8,259974,68
8,509656,142
8,290627,97
8,221300,67
8,190848,60
8,399048,95
8,388144,102
8,113392,31
8,264907,81
8,244219,70
8,88475,33
8,229235,61
8,236116,69
8,88917,32
8,49860,12
8,163401,47
8,157124,43
8,415377,120
8,119323,35
8,291121,107
8,222205,66
8,171185,43
8,207013,55
8,152770,37
8,214133,59
8,173659,40
8,216913,48
8,262050,84
8,250498,59
8,408323,134
8,279972,70
8,208726,59
8,208723,50
8,314766,89
8,375006,100
8,176098,55
8,345951,88
8,5949,1
8,184874,58
