Depth,Nodes,TimeMs
8,14758694,5118
8,7385526,4942
8,26327082,10314
8,24348659,8363
8,21110216,7137
8,16297149,5723
8,15544899,5416
8,53164409,19511
8,13274673,4912
8,7567983,2577
8,4803027,1645
8,7130216,2330
8,17261930,5823
8,4734341,1649
8,34074131,10723
8,2480335,768
8,4648108,1470
8,1488107,507
8,3238611,1142
8,6406234,2095
8,1437614,487
8,3500210,1099
8,57206441,17210
8,2057910,647
8,2141657,588
8,683879,203
8,2424372,686
8,2334347,729
8,7517428,2148
8,1501181,421
8,2447497,659
8,14437781,4154
8,16063474,4582
8,4153717,1150
8,4457529,1445
8,6506105,1996
8,3561941,1126
8,953053,291
8,2092073,584
8,480000,173
8,1233782,375
8,499816,107
8,555236,113
8,538140,123
8,638614,139
8,1140326,262
8,404424,82
8,526501,114
8,664644,151
8,627037,156
8,1060703,240
8,527858,118
8,907146,198
8,811216,172
8,747150,156
8,1051358,196
8,2945492,595
8,2790585,541
8,1668200,334
8,21088654,7435
8,6233671,2068
8,18998547,6244
8,33053899,11320
8,30901377,10304
8,31187871,11115
8,79757721,28392
8,41311873,13668
8,32608607,11098
8,13673868,4690
8,15063270,5461
8,12102812,4592
8,15661588,6417
8,8171492,2969
8,3725228,1252
8,5260477,1916
8,2891644,1145
8,4461208,1654
8,2995496,1002
8,2868282,836
8,5321458,1742
8,3013219,1038
8,4090764,1380
8,4552596,1783
8,15505678,5342
8,5559563,1767
8,4908794,1690
8,542974,225
8,2891236,1048
8,1962619,784
8,2687130,922
8,2161861,783
8,7145713,2549
8,433189,124
8,1450294,528
8,1769559,638
8,1768244,655
8,73201,26
8,36666,12
8,32,1
8,167856,52
8,611476,175
8,806986,201
8,350762,104
8,325866,97
8,664357,200
8,301443,88
8,463987,135
8,634745,190
8,1131660,324
8,166947,44
8,276736,86
8,980930,274
8,370458,123
8,532324,153
8,314288,78
8,809806,207
8,153123,46
8,448448,118
8,1409427,385
8,1411253,414
8,347051,118
8,599351,173
8,485001,121
8,837775,260
8,52241,13
8,186878,38
8,214981,45
8,338330,64
8,116768,24
8,107628,19
8,104945,22
8,214362,40
8,54551,12
8,72544,14
8,251713,46
8,218348,51
8,131417,30
8,118823,22
8,64,1
8,96555,20
8,92002,19
8,149630,30
8,405448,86
8,142452,32
8,166792,30
8,103698,21
8,83330,17
8,15907,3
8,79167,15
8,12485,4
8,55926,12
8,321555,59
8,459205,94
8,145103,29
8,318076,76
8,306847,54
8,944794,184
8,2769209,655
8,1569913,348
8,1202244,269
8,48366408,18117
8,32877280,12188
8,76840090,28439
8,40484418,16050
8,8261524,3186
8,35612095,13902
8,17739083,6701
8,30015025,10952
8,14544656,5776
8,12815830,4908
8,19834271,7291
8,17925317,6370
8,8061856,2962
8,9864608,3667
8,16287647,6345
8,8526133,2955
8,8968712,3053
8,6628475,2293
8,33633762,11756
8,40091413,13046
8,3896946,1361
8,32474247,10839
8,3178642,1145
8,344,1
8,8808515,3258
8,7617157,2812
8,3232369,1271
8,13699992,5063
8,7566524,2992
8,11676795,4378
8,6555287,2543
8,21058329,8111
8,15480457,5960
8,5818936,2055
8,10948768,3675
8,429822,145
8,860397,251
8,772947,276
8,377346,114
8,16397650,6239
8,17329874,6472
8,8879846,3456
8,36249495,12956
8,15739446,6092
8,11473813,4369
8,13111828,4908
8,14390578,5554
8,2640126,989
8,16971928,6742
8,60624698,24416
8,3677954,1415
8,7380987,2998
8,3195515,1295
8,7669084,2804
8,2297017,801
8,1929548,691
8,3043866,1074
8,9781325,3357
8,4878799,1654
8,7509750,2489
8,2039952,743
8,44438299,14853
8,560532,182
8,941876,343
8,2589791,946
8,889977,303
8,1051241,376
