Depth,Nodes,TimeMs,HistoryHitRate
8,7540366,2571,0.18
8,8307961,3113,0.20
8,7053240,3340,0.11
8,3752612,1690,0.03
8,3671521,1713,0.03
8,5582685,2629,0.03
8,11907570,5191,0.05
8,13187495,6068,0.07
8,12347860,5586,0.06
8,11905727,6249,0.05
8,12597942,6356,0.02
8,45815560,21476,0.06
8,18172515,9363,0.02
8,24958794,11999,0.04
8,33872510,16138,0.06
8,21819220,11262,0.05
8,360,1,0.00
8,328,1,0.00
8,7760997,4013,0.04
8,6391044,3076,0.07
8,13018268,6624,0.22
8,22250673,11417,0.21
8,23562080,12226,0.23
8,43027400,19686,0.12
8,22742291,11442,0.16
8,18033832,9975,0.13
8,21779545,12484,0.18
8,23718198,12905,0.11
8,23451475,12481,0.03
8,19120731,10556,0.08
8,9995776,5505,0.05
8,6012530,3644,0.11
8,2651443,1480,0.08
8,3497417,1862,0.05
8,1631032,769,0.07
8,1664094,1050,0.36
8,1013803,550,0.48
8,1478080,871,0.58
8,1625875,809,0.46
8,340144,200,0.37
8,240120,119,0.48
8,209688,102,0.82
8,126698,62,0.93
8,300283,128,1.35
8,253874,108,1.09
8,326105,134,0.95
8,349684,183,1.30
8,206474,100,1.31
8,168615,145,1.65
8,98010,52,1.51
8,53861,26,2.09
8,32,1,0.00
8,120,1,0.00
8,13921804,7393,0.29
8,13525833,7813,0.21
8,7763944,4266,0.08
8,16283561,8868,0.18
8,14048892,7312,0.14
8,7097223,3805,0.07
8,24088398,12132,0.07
8,25954650,13673,0.09
8,29128922,15908,0.11
8,17106127,9476,0.11
8,16122637,7862,0.12
8,12073077,5742,0.18
8,6913706,3214,0.12
8,10014029,5004,0.16
8,5182133,2699,0.09
8,3592320,2109,0.04
8,2626756,1483,0.13
8,312,1,0.00
8,312,1,0.00
8,4954876,2915,0.07
8,6356342,3234,0.04
8,5312256,2877,0.04
8,6915795,4001,0.09
8,4371379,2439,0.11
8,15952509,10022,0.16
