Depth,Nodes,TimeMs,HistoryHitRate
8,16494001,6647,0.18
8,8603535,4069,0.07
8,8032468,4053,0.10
8,6771087,3154,0.09
8,6667322,3164,0.14
8,6450156,3271,0.15
8,9790144,4292,0.09
8,10536734,5235,0.10
8,10854237,5754,0.16
8,8003785,4552,0.09
8,4774778,2766,0.08
8,2343985,1610,0.13
8,4730654,3344,0.09
8,3500155,2287,0.07
8,7029285,4770,0.06
8,3355687,2273,0.12
8,5095987,3249,0.21
8,3262303,2098,0.10
8,2207173,1581,0.34
8,273242,197,0.28
8,361132,157,0.40
8,758186,349,0.64
8,637222,288,0.93
8,1543911,725,0.77
8,261210,133,0.74
8,353467,178,0.72
8,199735,106,0.63
8,349247,139,0.89
8,544411,273,1.66
8,616772,277,1.64
8,612248,278,1.42
8,648277,274,1.34
8,989119,401,0.83
8,315432,122,0.88
8,670460,267,1.25
8,398371,143,0.83
8,338528,136,1.01
8,253652,100,1.24
8,358819,132,0.83
8,206864,80,1.10
8,156537,62,1.47
8,192470,72,0.99
8,529706,201,1.06
8,452855,172,0.65
8,330731,125,0.60
8,563452,209,0.35
8,332128,141,0.20
8,1129102,506,0.19
8,1071250,477,0.21
8,970289,411,0.23
8,10248016,5172,0.21
8,4648058,2572,0.18
8,7114950,4252,0.17
8,6787634,3359,0.14
8,8003195,4724,0.34
8,9923057,5726,0.20
8,7363811,4489,0.19
8,6489438,3533,0.28
8,4322610,2469,0.25
8,6775068,3199,0.61
8,8301619,4110,0.40
8,7385818,3645,0.52
8,7708825,4167,0.35
8,4129534,2277,0.23
8,8805541,4283,0.21
8,9115028,4557,0.16
8,8684710,4479,0.18
8,9421074,4519,0.24
8,7755226,3263,0.34
8,3670235,1989,0.29
8,2553510,1585,0.23
8,2850337,1539,0.59
8,1894481,1196,0.32
8,1360015,692,0.98
8,1212110,608,0.68
8,1389559,728,0.57
8,1463493,915,0.74
8,988828,574,0.53
8,1211835,634,0.42
8,1036562,559,0.42
8,2551242,1379,0.54
8,609577,321,1.17
8,913929,408,1.24
8,953116,426,1.59
8,1046366,444,1.50
8,438029,190,1.64
8,742032,324,1.83
8,503045,226,1.60
