Depth,Nodes,TimeMs,HistoryHitRate
8,158036,84,0.81
8,231082,112,1.00
8,430028,201,1.43
8,511589,234,1.09
8,238261,112,1.24
8,502936,248,1.64
8,909768,457,1.49
8,780664,375,1.22
8,259600,128,0.96
8,398878,205,1.08
8,279134,140,0.79
8,104761,54,1.31
8,47818,21,0.90
8,12616,4,3.60
8,35694,13,4.68
8,12950,4,4.87
8,17170,9,6.31
8,4657,2,5.14
8,8060,3,7.93
8,8914,3,8.59
8,10661,4,7.83
8,7302,4,8.33
8,2632,2,8.09
8,3746,1,7.21
8,5205,1,4.34
8,25864,10,2.88
8,306600,123,3.26
8,1462893,558,2.97
8,752306,289,3.08
8,3385148,1389,2.69
8,1979577,799,2.50
8,3974133,1925,0.05
8,7017273,3668,0.09
8,5336934,2387,0.02
8,4466236,1860,0.05
8,3621086,1623,0.10
8,2769130,1257,0.16
8,10973225,5337,0.15
8,25373931,12263,0.19
8,17206399,8401,0.20
8,13719497,6893,0.34
8,6159297,3000,0.28
8,6727606,3273,0.26
8,4898851,2748,0.13
8,4299370,2392,0.19
8,4900792,2819,0.18
8,3652731,2134,0.21
8,7364577,3833,0.31
8,9870569,5802,0.35
8,8683108,4715,0.35
8,9515502,5159,0.39
8,11049507,5921,0.30
8,6102145,3259,0.19
8,6333934,3669,0.54
8,6683032,3760,0.42
8,4954242,2879,0.52
8,5158578,2943,0.50
8,2265951,1375,0.48
8,1324190,663,0.66
8,400659,194,0.29
8,133831,71,0.67
8,49990,19,0.59
8,116551,46,1.55
8,117903,49,2.00
8,176602,80,2.17
8,150497,73,2.28
8,241880,106,1.66
8,114440,58,1.20
8,14249,5,2.24
8,37868,18,2.49
8,38796,18,3.53
8,119987,62,3.23
8,363393,175,2.65
8,323058,150,2.78
8,218033,107,2.53
8,366813,174,2.26
8,202446,108,2.34
8,202342,96,3.20
8,1077103,428,3.49
8,5234127,2183,3.57
8,3821230,1634,3.67
8,4215048,2588,0.20
8,6391011,3987,0.13
8,7172728,3875,0.18
8,4295644,2011,0.11
8,10437503,5037,0.08
8,5262685,2664,0.08
8,8885952,4062,0.09
8,5980517,2943,0.11
8,7193216,3051,0.10
8,14758842,6107,0.07
8,3566268,1806,0.06
8,2577132,1268,0.06
8,2268249,1139,0.09
8,2999059,1528,0.07
8,1980852,1102,0.06
8,1048858,532,0.08
8,1382836,644,0.22
8,3488189,1713,0.46
8,2763582,1267,0.31
8,2089657,929,0.35
8,1617879,860,0.56
8,1557673,846,0.36
8,1119673,652,0.37
8,1040789,451,0.33
8,651531,280,0.19
8,681682,370,0.47
8,568431,291,0.47
8,1200277,681,0.64
8,202138,120,0.88
8,420566,210,0.54
8,446473,233,0.80
8,982818,429,1.41
8,944973,506,1.96
8,191394,119,1.86
8,94987,43,2.42
8,154828,69,3.26
8,94898,45,2.58
8,82602,40,2.76
8,144,1,0.00
8,144,1,0.00
8,15171059,8234,0.21
8,10701400,5960,0.14
8,6703709,3609,0.09
8,5720427,3192,0.05
8,8010495,4433,0.11
8,17808498,9663,0.12
8,10453944,5770,0.21
8,12822153,7019,0.34
8,3587921,1850,0.11
8,7810275,4550,0.17
8,6244741,3948,0.23
8,19558912,12832,0.27
8,8270965,5507,0.17
8,10212467,7142,0.22
8,2192856,1628,0.30
8,13213687,9195,0.24
8,1844898,1100,0.48
8,12499909,6818,0.31
8,11663391,6650,0.18
8,9031309,5405,0.24
8,8410106,4452,0.25
8,18482827,8387,0.54
8,14878859,8450,0.35
8,10630214,5823,0.20
8,21430470,10989,0.14
8,11185783,6131,0.15
8,7643565,4117,0.12
8,11605771,6285,0.14
8,19721769,10658,0.13
8,9780017,5720,0.14
8,3565763,1995,0.11
8,8767942,4778,0.27
8,4842426,2431,0.20
8,8075045,4205,0.20
8,417880,208,0.17
8,522998,239,0.70
8,2321871,1100,0.61
8,2252541,995,0.45
8,1642083,757,0.82
8,1147006,586,1.27
8,3454834,1690,1.21
8,2193178,1059,1.07
8,3464582,1597,0.89
8,3708665,1853,0.92
8,1655157,730,0.74
8,706444,378,1.68
8,2250742,1125,0.91
8,1689000,861,1.13
8,765342,344,0.64
8,42515,26,1.03
8,28806,18,1.18
8,443351,181,1.08
8,29046,13,1.19
8,73441,28,0.48
8,197166,64,0.31
8,950981,311,0.40
8,618723,200,0.66
8,6008411,3125,0.17
8,19963207,10891,0.24
8,6604730,3768,0.24
8,14747046,9383,0.27
8,4636904,2698,0.10
8,13517862,8186,0.16
8,9646685,5279,0.09
8,21798337,11454,0.10
8,4739379,2702,0.09
8,3669414,2190,0.13
8,2196192,1009,0.12
8,3199876,1364,0.30
8,5546222,2810,0.45
8,3538634,1930,0.37
8,3160120,1546,0.35
