Depth,Nodes,TimeMs
8,15324754,5414
8,9998602,6477
8,5809821,3102
8,12045850,4287
8,21198411,7017
8,42244536,13434
8,32278599,10302
8,3945984,1420
8,4190526,1292
8,3676291,1124
8,3078300,904
8,5258581,1441
8,3581363,1082
8,5025417,1608
8,3904799,1055
8,2730176,831
8,5299570,1702
8,4631689,1517
8,3404785,1261
8,3609585,1207
8,4803313,1593
8,6008607,1947
8,4656865,1452
8,8158568,2356
8,3408451,993
8,15957994,4302
8,11200525,3148
8,13847339,3958
8,8429399,2481
8,6121294,1822
8,6438688,1957
8,9639673,2976
8,12538559,3820
8,6591351,1816
8,11298395,3096
8,13993441,3899
8,3227877,1015
8,1580917,476
8,1698815,531
8,2522283,803
8,755301,210
8,172390,54
8,171129,46
8,476904,142
8,513085,148
8,367379,105
8,115739,34
8,183738,46
8,365665,89
8,953222,256
8,871422,217
8,774673,198
8,880052,238
8,1682209,470
8,881415,232
8,1050622,297
8,216965,74
8,246443,73
8,152980,41
8,46182,15
8,162419,52
8,11238,2
8,5507,1
8,6374,1
8,11313,3
8,3396,1
8,4200,1
8,2682,1
8,5327,1
8,24,1
8,3725,1
8,4648,1
8,2960,1
8,5112,1
8,12419,3
8,44940,9
8,388661,88
8,141774,36
8,229629,48
8,396250,74
8,239664,51
8,224810,48
8,190588,43
8,161310,29
8,62362,12
8,113497,20
8,54949,9
8,267840,50
8,327306,62
8,240696,53
8,511767,93
8,246431,45
8,108267,23
8,241473,43
8,164106,38
8,212748,45
8,72149,18
8,142468,34
8,76429,20
8,69428,13
8,82311,16
8,23461,7
8,34862,7
8,29772,6
8,112575,24
8,104192,21
8,82912,19
8,21850,4
8,66101,13
8,75945,15
8,139157,22
8,366697,73
8,56,1
8,56,1
8,59594,18
8,106925,26
8,89936,19
8,153057,30
8,55264,10
8,28138,6
8,124500,26
8,32,1
8,40,1
8,101710,23
8,94191,18
8,75413,21
8,46396466,14728
8,85539979,27601
8,40627674,14189
8,5977205,2308
8,4945499,1882
8,6117877,2178
8,27486188,8858
8,59594965,19720
8,10393505,3585
8,7071923,2394
8,16260035,5650
8,4178236,1509
8,23873704,7986
8,8121606,2777
8,3056978,1000
8,1405054,475
8,5763075,1657
8,4696343,1426
8,2130814,584
8,33341268,9644
8,1464872,429
8,2205904,631
8,3034186,867
8,1550825,447
8,294711,81
8,371472,111
8,753807,220
8,697403,197
8,2226282,658
8,500703,172
8,1347775,458
8,896293,315
8,1051614,311
8,1634325,467
8,658654,181
8,862642,282
8,1115123,346
8,1395051,373
8,813541,255
8,430448,137
8,4110588,1262
8,2496506,803
8,4069357,1279
8,3095005,1110
8,192302,76
8,4268581,1467
8,1430845,438
8,1097235,369
8,526388,178
8,952160,340
8,1458989,495
8,718521,255
8,651041,200
8,3840025,1303
8,449383,136
8,464599,172
8,809523,308
8,765045,309
8,2469529,953
8,1299660,508
8,236737,87
8,218992,85
8,313094,124
8,249349,80
8,286152,87
8,277319,98
8,264572,89
8,295014,79
8,398016,112
8,230642,89
8,232287,93
8,484702,172
8,486189,135
8,213603,59
8,202288,57
8,451007,132
8,1443339,506
8,1466988,484
8,3097695,1060
8,751282,231
8,1202473,370
8,1742131,479
8,1172136,347
8,1067210,299
8,1750575,612
8,1575865,441
8,386436,124
8,799275,207
8,459637,127
8,186058,54
8,364532,118
8,475965,136
8,899056,232
8,208650,57
8,343159,108
8,687115,190
8,681758,184
8,298143,83
8,373111,119
8,307573,89
8,802097,253
8,615793,180
8,370149,126
8,515682,144
8,605272,183
8,880401,258
8,154828,44
8,168,1
8,460444,129
8,207313,60
8,558521,165
8,297587,83
8,487274,139
8,138515,43
8,251450,88
8,424878,125
8,424444,122
8,174141,49
8,64157,23
8,72685,30
8,8908,4
8,81825,30
8,40412,19
8,74752,25
8,92452,29
8,64436,19
8,47933,12
8,65116,16
8,32,1
8,31603,10
8,50139,13
8,24,1
8,138633,36
8,78178,16
8,111988,29
8,154529,28
8,134915,27
8,21982,4
8,22268,3
8,64507,13
8,93235,20
8,253493,64
8,132756,28
8,75363,22
8,50174,10
8,24556,7
8,13095,3
8,45877,12
8,35698,8
8,34896,9
8,12152,3
8,25628,5
8,65607,13
8,45611,9
8,17347,3
8,13414,3
8,28840,6
8,13419,3
8,36081,8
8,70967,19
8,32492,8
8,24044,5
8,12081,4
8,10070,3
8,3682,1
8,9907,2
8,41234,10
8,50687,11
8,6085613,2178
8,11843445,3838
8,11021353,3687
8,21758090,7374
8,12494021,4104
8,11105186,3424
8,17286149,5464
8,15902918,4989
8,17253319,5289
8,13406175,4057
8,10615499,3262
8,11786358,3910
8,22394524,7131
8,27950855,8791
8,29641607,9839
8,16020070,5167
8,17259958,5757
8,61428520,22236
8,64996372,21827
8,12160538,3741
8,33292643,10722
8,20135270,7190
8,18067154,5928
8,6345699,1797
8,8522835,2552
8,19066670,5588
8,16025115,4957
8,6584730,2263
8,4452434,1408
8,1352163,448
8,1041088,374
8,7775959,2382
8,7130915,2015
8,3985103,1160
8,2752468,791
8,3876324,1085
8,2204565,663
8,5059333,1455
8,3743987,1094
8,3073389,1029
8,1113920,311
8,5387953,1891
8,703150,256
8,559955,171
8,785353,292
8,32,1
8,358999,126
8,224438,67
8,227097,71
8,202521,54
8,1363738,333
8,2028386,483
8,969907,240
8,1717087,473
8,311151,72
8,1321356,312
8,883219,218
8,1135553,276
8,1230514,337
8,251070,67
8,410852,114
8,387069,110
8,490718,116
8,1967591,485
8,886791,226
8,961237,245
8,353630,98
8,240785,57
8,501378,124
8,629220,169
8,393885,107
8,1257345,343
8,1244353,308
8,951218,232
8,1021945,260
8,399747,100
8,523981,151
8,443972,96
8,1281457,342
8,316119,73
8,967824,208
8,902365,213
8,1080772,272
8,942269,271
8,580253,146
8,329958,92
8,278893,66
8,161176,54
8,364755,77
8,1116962,226
8,1038968,206
8,2618479,532
8,2634112,574
8,1259046,260
8,665222,151
8,13021504,4426
8,5254593,1857
8,6080662,2250
8,10350506,3789
8,14878328,5454
8,25749538,9753
8,25524745,9691
8,19163946,7760
8,6806167,2690
8,11320099,3648
8,9638004,3391
8,3694309,1160
8,3711444,1462
8,7805837,2911
8,18277976,6388
8,7509596,2792
8,4561869,1620
8,5391536,1883
8,10127410,3449
8,4602434,1592
8,568424,235
8,5178762,1959
8,67907934,23175
8,191485982,66271
8,1261429,446
8,1502208,513
8,2194852,657
8,2090213,638
8,3793227,1201
8,6441547,1678
8,1085912,316
8,917636,255
8,344501,96
8,480506,125
8,1437509,335
8,1178081,314
8,949366,247
8,1000016,227
8,1598205,333
8,7262624,1574
8,3789970,826
8,798510,186
8,1389324,299
8,1171531,283
8,1142450,238
8,21495723,6820
8,23183078,6543
8,9977818,3178
8,22689196,7167
8,25333140,8097
8,15742817,4954
8,22800905,6583
8,40293262,11685
8,18722176,6056
8,15716087,4540
8,22820905,6959
8,17445881,4749
8,9513560,2759
8,13777656,3885
8,24790780,7280
8,12259224,3755
8,8506774,2543
8,9578852,3253
8,32321275,10069
8,184525834,57623
8,22584604,7570
8,194973159,62360
8,17850785,6598
8,15918709,5036
8,26716770,8813
8,13468296,4713
8,1738254,520
8,3293279,1169
8,909736,323
8,817181,254
8,1484362,534
8,438157,116
8,1538713,435
8,1346594,402
8,1036354,312
8,1403054,377
8,616529,205
8,213720,62
8,393488,93
8,550150,136
8,551255,130
8,897311,208
8,944431,210
8,708588,183
8,850729,208
8,788228,170
8,218271,57
8,471887,127
8,304024,94
8,328986,85
8,94017,26
8,1483939,407
8,399903,104
8,1519972,410
8,439377,116
8,285251,91
8,640569,160
8,427641,116
8,965055,249
8,491727,119
8,545807,118
8,329211,66
8,396834,73
8,428425,98
8,1052352,223
8,2687597,568
8,1528598,325
8,32535654,10414
8,40705583,12668
8,11671847,5332
8,9015570,4549
8,14841058,5988
8,15996686,5626
8,14000969,4388
8,36112573,11237
8,110353342,34637
8,16111346,5514
8,13946517,4781
8,37823827,13578
8,23986378,7689
8,27195899,8411
8,7848473,2707
8,7309122,2538
8,20846696,8382
8,7221542,2380
8,1988422,811
8,9059903,3062
8,4428916,1559
8,6873861,2292
8,20422016,6972
8,9091441,3433
8,8115636,2996
8,3506365,1272
8,5959405,2038
8,17715119,5772
8,5461974,1838
8,5514359,1940
